[CV 2/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.876;time;1.2s
[CV 3/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.787;time;0.6s
[CV 4/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.831;time;0.5s
[CV 5/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.809;time;0.5s
[CV 6/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.831;time;0.5s
[CV 7/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.899;time;0.5s
[CV 8/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.809;time;0.5s
[CV 9/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.854;time;0.6s
[CV 10/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;log2; min_impurity_decrease;0.0; min_samples_split;9; n_estimators;400;;score;0.831;time;0.5s
[CV 1/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.822;time;0.6s
[CV 2/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.876;time;0.5s
[CV 3/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.798;time;0.4s
[CV 4/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.888;time;0.4s
[CV 5/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.854;time;0.4s
[CV 6/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.820;time;0.4s
[CV 7/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.876;time;0.8s
